original_question,duplicate_question,similarity_score
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a frontend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9791
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a full-stack developer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9338
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a DevOps engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.922
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a cloud infrastructure engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9291
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a data engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9524
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a machine learning engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9209
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a security engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9318
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a engineering lead, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9743
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a staff architect, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9451
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.","As a principal systems engineer, tell me about a time you took initiative to resolve a complex technical bottleneck during a high-traffic Black Friday deployment.",0.9557
"Describe a situation where, as a backend engineer, you had to influence technical decisions without having formal management authority.","Describe a situation where, as a frontend engineer, you had to influence technical decisions without having formal management authority.",0.9527
Tell me about an experience as a backend engineer where you identified a team-wide process inefficiency and successfully overhauled it.,Tell me about an experience as a frontend engineer where you identified a team-wide process inefficiency and successfully overhauled it.,0.9521
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a frontend engineer during a high-traffic Black Friday deployment?,0.9881
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a full-stack developer during a high-traffic Black Friday deployment?,0.9493
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a DevOps engineer during a high-traffic Black Friday deployment?,0.9362
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a cloud infrastructure engineer during a high-traffic Black Friday deployment?,0.9196
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a data engineer during a high-traffic Black Friday deployment?,0.9452
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a machine learning engineer during a high-traffic Black Friday deployment?,0.9262
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a security engineer during a high-traffic Black Friday deployment?,0.918
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a mobile developer during a high-traffic Black Friday deployment?,0.9024
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a engineering lead during a high-traffic Black Friday deployment?,0.9708
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a staff architect during a high-traffic Black Friday deployment?,0.9327
How have you handled mentoring junior colleagues as a backend engineer during a high-traffic Black Friday deployment?,How have you handled mentoring junior colleagues as a principal systems engineer during a high-traffic Black Friday deployment?,0.9548
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Describe a time you had to make a tough architectural trade-off as a frontend engineer during a high-traffic Black Friday deployment.,0.981
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Describe a time you had to make a tough architectural trade-off as a DevOps engineer during a high-traffic Black Friday deployment.,0.9068
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Describe a time you had to make a tough architectural trade-off as a data engineer during a high-traffic Black Friday deployment.,0.9202
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Describe a time you had to make a tough architectural trade-off as a security engineer during a high-traffic Black Friday deployment.,0.9077
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Describe a time you had to make a tough architectural trade-off as a engineering lead during a high-traffic Black Friday deployment.,0.9555
