cleaned_question,predicted_label,classification_confidence,source,reason
How do you prioritize technical debt against high-priority user-facing product features when sprint capacity is constrained?,Communication,0.5667,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you had to step in and take ownership of an abandoned microservice to keep customer SLAs intact.,Communication,0.3705,PublicBehavioralCorpus,Low semantic confidence (<0.50)
Describe how you drove engineering culture and automated testing standards across your development organization.,Leadership,0.6245,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you had to push back on executive leadership regarding an unrealistic product launch deadline.,Leadership,0.526,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you advocated for retiring a legacy system despite resistance from business teams who relied on it.,Leadership,0.5785,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe a situation where a critical dependency was delayed by a partner team. How did you unblock your engineering squad?,Leadership,0.4981,PublicBehavioralCorpus,Low semantic confidence (<0.50)
How do you balance delegating technical implementation to junior engineers while ensuring architectural correctness?,Leadership,0.5731,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you designed an incident management rotation and post-mortem review process from scratch.,Communication,0.4731,PublicBehavioralCorpus,Low semantic confidence (<0.50)
Describe a scenario where you identified a security vulnerability in production and rallied multiple teams to patch it within 24 hours.,Communication,0.6437,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
How do you evaluate engineering candidates during technical interviews to ensure objective evaluation and eliminate unconscious bias?,Communication,0.6549,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe how you managed scope creep when product managers repeatedly introduced new feature requests midway through a sprint.,Communication,0.587,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
How do you foster an engineering culture that encourages rapid experimentation without compromising system reliability?,Leadership,0.5536,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time when an engineer on your team made a catastrophic production mistake. How did you conduct a blameless post-mortem?,Communication,0.6394,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe how you negotiated service level objectives (SLOs) and error budgets with product and operations teams.,Leadership,0.541,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe a situation where you had to present an incident post-mortem and root cause analysis to C-level executives.,Problem Solving,0.6862,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
"Describe a time you translated high-level business goals into precise, testable technical requirements for your engineering squad.",Leadership,0.701,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
"How do you run effective, inclusive daily stand-up meetings that do not devolve into micromanagement or status reports?",Leadership,0.6421,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe a time you had to make a tough architectural trade-off as a backend engineer during a high-traffic Black Friday deployment.,Communication,0.6325,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you led a post-mortem discussion as a backend engineer after a critical failure during a high-traffic Black Friday deployment.,Communication,0.6514,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you championed code quality and testing rigor as a backend engineer during a high-traffic Black Friday deployment.,Leadership,0.5483,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
How do you approach knowledge sharing and technical documentation within your engineering squad as a backend engineer?,Leadership,0.5156,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you advocated for engineering resources to retire technical debt as a backend engineer during a high-traffic Black Friday deployment.,Communication,0.6425,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you had to negotiate API contracts with another engineering squad during a high-traffic Black Friday deployment.,Communication,0.4571,PublicBehavioralCorpus,Low semantic confidence (<0.50)
How do you explain the latency impact of database queries to marketing and product teams as a backend engineer?,Technical Knowledge,0.5238,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
How do you communicate breaking API changes across multiple client applications as a backend engineer during a high-traffic Black Friday deployment?,Communication,0.5443,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
How do you facilitate cross-team architectural reviews when squads have conflicting design philosophies as a backend engineer?,Communication,0.6392,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
"As a backend engineer, tell me about a time you took initiative to resolve a complex technical bottleneck while migrating a monolithic database to microservices.",Problem Solving,0.4373,PublicBehavioralCorpus,Low semantic confidence (<0.50)
Tell me about a time you led a post-mortem discussion as a backend engineer after a critical failure while migrating a monolithic database to microservices.,Leadership,0.5502,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you championed code quality and testing rigor as a backend engineer while migrating a monolithic database to microservices.,Role-Specific Skills,0.4206,PublicBehavioralCorpus,Low semantic confidence (<0.50)
"As a backend engineer, how do you balance long-term engineering excellence with immediate business delivery while migrating a monolithic database to microservices?",Role-Specific Skills,0.623,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you advocated for engineering resources to retire technical debt as a backend engineer while migrating a monolithic database to microservices.,Communication,0.3646,PublicBehavioralCorpus,Low semantic confidence (<0.50)
"As a backend engineer, how do you articulate complex architectural trade-offs to non-technical business partners while migrating a monolithic database to microservices?",Role-Specific Skills,0.5178,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Tell me about a time you had to deliver unexpected bad news regarding project timelines as a backend engineer while migrating a monolithic database to microservices.,Role-Specific Skills,0.4582,PublicBehavioralCorpus,Low semantic confidence (<0.50)
"How do you foster transparent, blameless technical communication across distributed engineering squads while migrating a monolithic database to microservices?",Communication,0.6939,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
Describe a time you presented the post-mortem of a production outage to cross-functional stakeholders while migrating a monolithic database to microservices.,Communication,0.6476,PublicBehavioralCorpus,Moderate confidence review queue (0.50-0.75)
